boletim,tipo_acidente,desc_tipo_acidente,cod_tempo,desc_tempo,cod_pavimento,pavimento,cod_regional,desc_regional,origem_boletim,velocidade_permitida,indicador_fatalidade,valor_ups,descricao_ups,data,hora,faixa_hora,faixa_hora_num,mes,ano,dia,total_envolvidos,total_fatais,idade_media_envolvidos,total_condutores,total_pedestres,total_passageiros,total_embriaguez,total_veiculos,nome_municipio,tipo_logradouro,nome_logradouro,bairro,longitude,latitude
2019026821139001,H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,25,PAMPULHA,POLICIA MILITAR,0,N,0,0,2019-06-07,13:38:00,Tarde,2,6,2019,7,3,0,47.3,2,0.0,1.0,0.0,2.0,BELO HORIZONTE,RUA,ANTONIO ALEIXO,Serrano,,
2019027020851001,H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,19,CENTRO-SUL,POLICIA MILITAR,0,N,0,0,2019-06-08,17:07:00,Tarde,2,6,2019,8,2,0,13.0,2,0.0,0.0,0.0,2.0,BELO HORIZONTE,RUA,DOS GUAICURUS,Centro,,
2019032452512001,H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,25,PAMPULHA,POLICIA MILITAR,0,N,0,0,2019-07-08,16:21:00,Tarde,2,7,2019,8,2,0,35.5,2,0.0,0.0,0.0,3.0,BELO HORIZONTE,RUA,FARMACEUTICA MARIQUINHA NORONHA,Paqueta,,
2019032675416001,H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,22,NOROESTE,POLICIA MILITAR,0,N,0,0,2019-07-09,17:55:00,Tarde,2,7,2019,9,2,0,40.0,2,0.0,0.0,0.0,2.0,BELO HORIZONTE,RUA,WILSON MENDES,Padre Eustáquio,,
2019017864209001,H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,22,NOROESTE,POLICIA MILITAR,0,N,0,0,2019-04-17,14:08:00,Tarde,2,4,2019,17,2,0,30.5,2,0.0,0.0,0.0,2.0,BELO HORIZONTE,AVE,TERESA CRISTINA,Carlos Prates,,
2019033181490001,H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,21,NORDESTE,POLICIA MILITAR,0,N,0,0,2019-07-12,12:20:00,Tarde,2,7,2019,12,2,0,43.0,2,0.0,0.0,0.0,2.0,BELO HORIZONTE,RUA,AMANHECE,São Paulo,,
2019033381530001,H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,23,NORTE,POLICIA MILITAR,0,N,0,0,2019-07-13,15:31:00,Tarde,2,7,2019,13,2,0,45.5,2,0.0,0.0,0.0,2.0,BELO HORIZONTE,AVE,SARAMENHA,Guarani,,
2019033518173001,H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,20,LESTE,POLICIA MILITAR,0,N,0,0,2019-07-14,15:03:00,Tarde,2,7,2019,14,3,0,35.7,2,0.0,1.0,0.0,2.0,BELO HORIZONTE,AVE,CRISTIANO MACHADO,Colégio Batista,,
2019018634705001,H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,25,PAMPULHA,POLICIA MILITAR,0,N,0,0,2019-04-22,12:39:00,Tarde,2,4,2019,22,2,0,13.5,2,0.0,0.0,0.0,2.0,BELO HORIZONTE,AVE,CRISTIANO MACHADO,Dona Clara,,
2019035322929001,H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,23,NORTE,POLICIA MILITAR,0,N,0,0,2019-07-24,15:32:00,Tarde,2,7,2019,24,2,0,10.5,2,0.0,0.0,0.0,2.0,BELO HORIZONTE,AVE,RISOLETA NEVES,Providencia,,
